Nombres,Telefonos,Salario,Pesos,Alturas,Nacionalidades,Grupo Sanguineos,Fechas de Nacimiento
Casey Hernandez,944-587-2340x32,"977,914",65.26 kg,,Cape Verde,B+,09/04/1957 06:35:38
Nicholas Walker,637.821.3478,"219,625",70.45 kg,154.77 cm,Senegal,,16/11/1965 18:21:59
Maria Villanueva,+1-329-723-3212,"99,759",63.39 kg,182.24 cm,Sierra Leone,A+,18/11/1963 08:09:16
John Bryan MD,860.340.0131x90,"388,586",65.51 kg,197.79 cm,Taiwan,AB+,05/08/2004 07:07:02
Dennis Jenkins,+1-956-243-1584,"604,082",60.73 kg,180.86 cm,Indonesia,B+,23/06/2002 11:52:08
,001-215-246-388,"487,413",75.11 kg,172.06 cm,Myanmar,O+,05/11/1970 16:19:01
David Francis,(607)345-8580,"982,875",86.99 kg,176.04 cm,Faroe Islands,,09/11/1968 06:46:20
Alexandra Santiago,001-478-790-562,"154,563",78.28 kg,182.34 cm,Spain,A-,27/09/1991 15:23:45
Rhonda Allen,(695)639-8477x9,"685,211",99.28 kg,168.84 cm,Timor-Leste,A+,27/08/2001 11:47:13
Sean Yu,218.872.1619,,60.43 kg,161.81 cm,Bulgaria,AB-,15/10/1958 02:01:29
Dustin Gonzales,(752)795-9053x9,"695,972",74.64 kg,167.42 cm,Botswana,A-,16/07/1986 07:08:25
Keith Jones,784-480-2328x04,"589,618",90.46 kg,193.78 cm,Ireland,B+,
Mr. Travis Anderson PhD,001-343-929-878,"50,771",93.97 kg,195.24 cm,Ireland,B-,23/09/2006 09:02:49
Sharon Sullivan,(602)493-8555,"511,409",80.16 kg,164.72 cm,Kenya,AB+,15/06/1981 18:47:45
Tiffany Carpenter,+1-652-681-6281,"204,408",62.99 kg,177.47 cm,Estonia,O-,28/05/1986 06:15:16
Stephanie White,531.208.9152,"510,137",59.03 kg,169.09 cm,Guam,O+,03/01/1956 11:11:25
Taylor Ho,+1-855-651-4623,"558,572",,162.42 cm,Gambia,A+,18/06/1994 05:08:03
Elizabeth Marshall,+1-648-611-0025,"575,744",89.94 kg,175.44 cm,Palau,B-,01/07/1968 13:02:27
Kimberly Simon,001-930-291-184,"761,432",85.68 kg,193.30 cm,Gambia,A+,11/09/1960 03:35:59
Patricia Pearson,916.253.2373x11,"397,588",64.53 kg,196.12 cm,Namibia,AB+,25/01/1961 09:14:25
Jonathan Garcia,001-363-674-010,"394,801",68.57 kg,165.22 cm,Kazakhstan,O+,08/01/1998 13:30:38
John West,340-745-6209x32,"658,587",64.98 kg,,Pitcairn Islands,B+,03/03/1958 18:05:06
Scott Barber,+1-954-693-3590,"773,287",65.96 kg,159.11 cm,Saint Barthelemy,AB-,04/09/1973 03:21:44
William Norman,879.340.5837x58,"791,610",60.97 kg,198.85 cm,Panama,O-,
Derek Nichols,457.533.1920,"477,139",59.92 kg,156.50 cm,Belarus,,10/10/1973 19:04:43
Michael Gonzalez,9638465863,"227,646",96.69 kg,184.16 cm,Cameroon,B-,29/03/1974 06:44:34
Isaac Williams,564-487-1127x50,,91.52 kg,176.96 cm,Haiti,O-,31/03/1980 16:54:36
Kenneth Pratt,001-319-359-519,"543,543",87.33 kg,162.15 cm,Tanzania,AB-,23/11/1988 03:41:21
Carlos King,454.552.3799x03,"692,159",64.77 kg,165.97 cm,Luxembourg,B+,14/03/1997 08:46:02
Katrina Oneal,(921)674-8250x4,"854,094",60.12 kg,188.57 cm,Vietnam,A+,26/11/1986 08:10:52
Frank Smith,893.751.2286x14,"722,479",70.78 kg,194.69 cm,Malta,AB-,27/07/1967 01:14:10
Kenneth Smith,001-335-880-580,"24,848",86.05 kg,198.08 cm,Guinea,A-,03/01/1982 09:48:16
Jesse Hancock,001-812-853-194,"362,188",91.45 kg,197.16 cm,Lao People's Democratic Republic,O+,13/07/1978 03:51:52
William Hart,225-270-9432x15,"821,592",55.78 kg,173.59 cm,Cyprus,B+,24/05/2004 13:39:25
Richard Weber,(939)952-4096x7,"366,459",95.84 kg,156.99 cm,Ukraine,AB+,17/10/1964 14:44:03
Kimberly Hess,001-249-965-802,"44,269",69.49 kg,188.33 cm,,AB-,30/10/1972 14:55:18
Lauren Davis,+1-580-678-2278,"874,476",71.33 kg,162.61 cm,Wallis and Futuna,O+,10/12/1978 14:16:27
Richard Nguyen,(722)513-9771x8,"581,778",74.90 kg,183.13 cm,Jordan,B+,28/09/1973 08:37:48
Brenda Garcia,371.295.4904x13,"953,330",81.80 kg,195.35 cm,Swaziland,A-,09/02/1969 05:43:56
Jennifer Johnson,,"146,487",58.60 kg,199.36 cm,Algeria,O-,24/04/1979 11:25:30
Lisa Ramos,761.713.0561,"671,781",66.10 kg,161.78 cm,Russian Federation,A+,16/01/1995 20:05:54
Larry Moore,(627)846-8274x1,"92,451",94.20 kg,167.18 cm,Chad,B-,11/11/1970 17:59:25
David Lara,+1-660-640-5487,"493,605",93.14 kg,154.78 cm,Aruba,AB-,16/03/2000 02:24:18
Lisa Frank,851-947-8569,"563,702",72.87 kg,150.55 cm,Nauru,B-,11/08/1956 15:48:53
,(799)641-6188,"824,464",60.87 kg,164.25 cm,Greenland,O+,08/10/1974 04:13:52
Jennifer Nguyen,5739852928,"564,046",66.46 kg,162.65 cm,Lesotho,AB-,12/09/1980 10:40:07
,(312)603-8210x4,"299,507",60.26 kg,159.34 cm,Tonga,O+,09/08/1958 05:23:46
Steven Quinn,957.596.5550,"551,255",84.99 kg,177.70 cm,Cambodia,AB+,19/09/1976 00:52:52
Michelle Stone,(565)552-4011,"178,278",88.74 kg,165.97 cm,Lebanon,AB-,10/11/1976 22:46:33
Katie Smith,001-462-512-712,"516,974",54.97 kg,184.72 cm,Montenegro,AB+,20/09/1974 21:01:37
David Cole,(892)329-3719x2,"988,152",75.35 kg,,Andorra,,03/11/1998 22:29:33
Carrie Bridges,711-845-5565x22,"251,907",69.86 kg,,Korea,A-,18/02/1958 15:44:00
Danielle Serrano,822.478.1197,"367,140",85.60 kg,159.23 cm,Congo,B-,13/02/1960 06:57:10
Alice Barnes,793.353.9547,"948,832",54.15 kg,169.53 cm,China,A+,06/12/1957 23:07:56
Nathan Barker,4779994353,"380,205",61.43 kg,176.78 cm,Dominica,O-,11/09/1959 03:23:29
